"Colony.no.","Raw_file_name","Date_footage","Timepoint","Your_initials","Video_time_stamp","Event","Activity","Pollen_foraging","Standardized_time","...11","WGT","treatment","Obs_Duration","Pollen_foraging_binary","weight","enter_exit_binary","DateTime","RECORD","BattV_Avg","PTemp_C_Avg (Deg C) [Avg]","Air_Temp_Avg","RH (%) [Smp]","SlrW_Avg (W/m^2) [Avg]","SlrMJ_Tot (MJ/m^2) [Tot]","Grass_Temp_Avg (Deg C) [Avg]","Soil_Temp_2in_Avg (Deg C) [Avg]","Soil_Temp_4in_Avg (Deg C) [Avg]","WindDir (Degrees) [Smp]","WS_kph_ (kilometers/hour) [Avg]","Rain_mm_Tot (mm) [Tot]","...15","week"
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:43:11,"exit",0,"NA",1013,NA,1,"Control",3600,NA,1,0,2024-05-29 11:43:11,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:43:34,"entrance_pollen",1,"yes",1036,NA,1,"Control",3600,1,1,1,2024-05-29 11:43:34,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:43:56,"entrance_none",1,"no",1058,NA,1,"Control",3600,0,1,1,2024-05-29 11:43:56,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:44:19,"entrance_none",1,"no",1081,NA,1,"Control",3600,0,1,1,2024-05-29 11:44:19,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:44:21,"entrance_pollen",1,"yes",1083,NA,1,"Control",3600,1,1,1,2024-05-29 11:44:21,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:44:35,"exit",0,"NA",1097,NA,1,"Control",3600,NA,1,0,2024-05-29 11:44:35,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:44:40,"exit",0,"NA",1102,NA,1,"Control",3600,NA,1,0,2024-05-29 11:44:40,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:44:55,"exit",0,"NA",1117,NA,1,"Control",3600,NA,1,0,2024-05-29 11:44:55,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:45:07,"entrance_pollen",1,"yes",1129,NA,1,"Control",3600,1,1,1,2024-05-29 11:45:07,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:45:21,"entrance_pollen",1,"yes",1143,NA,1,"Control",3600,1,1,1,2024-05-29 11:45:21,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
